Question No.,Preclinical / Clinical,Difficulty Level,Question Stem,Answer Options ,Explanation
1,Clinical,Medium,"Ruth is a 75 year old woman who attends her GP complaining of a bad headache unlike anything she has had before. She describes the headache as primarily over the right side of her head, occasionally extending to her jaw when chewing or speaking.

She also notes some ‘fuzzy’ vision in her right eye: upon testing, her (corrected) visual acuity is 6/6 in the L) eye and 6/12 in the R) eye.

Her GP suspects a particular diagnosis, and asks Ruth some additional questions about her general health. Ruth reveals she has also been experiencing some pain in her hips over the last few months, which is especially bad when getting out of bed in the mornings, but assumed this was “just arthritis”.


What is the most likely diagnosis?","Select one:

a.
Trigeminal neuralgia

b.
Temporal arteritis


c.
Scleroderma


d.
Hypothyroidism


e.
Cervical spondylosis","The correct answer is Temporal arteritis

Temporal arteritis (also known as Giant cell arteritis) is a medium-large vessel vasculitis classically affecting the temporal artery; consistent with the distribution of Ruth’s headache. This disease typically affects an older patient population, with a mean patient age of 70 years.

In addition to the temporal artery, other neighbouring arteries can be affected:

The pain occasionally radiates to the jaw, when Ruth is chewing and speaking. This reflects  ‘jaw claudication’ due to ischaemia of the maxillary artery which supplies the masseter muscles.

Ruth has blurred vision with some reduction in visual acuity in one eye. This reflects optic nerve ischaemia due to involvement of the ophthalmic artery. This is an ophthalmic emergency warranting urgent hospital admission in Ruth’s case - ischaemia of the optic nerve can be sight-threatening unless treated promptly.

Temporal arteritis is associated with Polymyalgia Rheumatica in 40-60% of cases. This condition is characterised by proximal muscle stiffness and myalgias (e.g., hips, shoulders), typically with a markedly elevated ESR. Treatment for both conditions is with systemic corticosteroids.



Distractors:

Trigeminal neuralgia - typical presentation would be bouts of shooting/neuropathic pain in the lower face/jaw which last only a few seconds at a time.

Scleroderma - not consistent with this presentation. Scleroderma features a wide range of clinical manifestations including plaque formation, Raynaud's phenomenon, cuteaneous sclerosis, finger swelling, interstitial lung disease, GORD, renal impairment, myocardial disease, arthritis, tenosynovitis, muscle weakness and myalgia.

Hypothyroidism - hypothyroidism is a valid differential diagnosis, however it is less likely as this is a fairly acute presentation in an otherwise well patient, and the clinical picture is more consistent with temporal arteritis.

Cervical spondylosis - may cause headache, but not consistent with other features of this presentation. A history of neck pain/stiffness, weakness or loss of balance would make this more likely.

References:

https://www.msdmanuals.com/en-au/professional/musculoskeletal-and-connective-tissue-disorders/vasculitis/polymyalgia-rheumatica#v904854

https://www.aafp.org/afp/2000/0815/p789.html




The correct answer is: Temporal arteritis"
2,Clinical,Medium,"A 58 year old Maori patient comes into the ED with an extremely swollen and painful right swollen toe, which he rates a 9/10. 



His past medical history is significant for left-sided heart failure - for which he takes metoprolol 50mg BD, frusemide 40mg daily, sacubitril + valsartan 24/26 BD and slow K 600mg daily. He also admits to taking paracetamol regularly for some joint pain, but mentions the paracetamol has not worked for his current pain. The patient also has T2DM which is well managed with Novomix 20 units TDS and some dapagliflozin 10mg daily. He has no allergies. He has a BMI of 35. 



Upon examination, the joint is extremely swollen, so much so that he cannot move the joint at all. The examination is also limited by pain.



Further X-Ray imaging shows some tophi on the toe. Blood tests show he has an eGFR of 88ml/min.



What would be an appropriate pharmacological management strategy for this patient? 
","Select one:

a.
Allopurinol 100mg daily then increase gradually.


b.
Colchicine 1mg stat, then 500mcg 1 hour later.


c.
Prednisolone 50mg stat then 25mg 1 daily thereafter


d.
Indomethacin 50mg QID


e.
Probenecid 250mg bd for 1 week","The correct answer is colchicine.

Colchicine is a gout medication that works by inhibiting neutrophil migration, chemotaxis, adhesion and phagocytosis in an inflamed tissue such as in our case - patient’s toe with the urate crystals. It has a high renal elimination fraction which is why we need to look at the patient’s eGFR. It is also accepted to be used for prophylaxis of Gout, including when starting urate lowering therapy.

The patient has left-sided heart failure which means that indomethacin (an NSAID) would be inappropriate for him due to water retention exacerbating his HF. 

Prednisolone would also be a poor treatment option for this patient due to his T2DM, and could impact on his glycaemic control. Corticosteroids could raise blood glucose levels and cause diabetic complications in the long term. 

Probenecid is not routinely used as a first line treatment for gout and should be avoided in acute gout flare ups. 

The same principle applies with Allopurinol - which is a urate lowering therapy. It is known that using a urate lowering therapy in acute gout is not beneficial and could make the gout attack worse. Allopurinol is used in chronic management of gout and prevention of further episodes. 

The correct answer is: Colchicine 1mg stat, then 500mcg 1 hour later."
3,Clinical,Medium,"A 58 year old Maori patient comes into the ED with an extremely swollen and painful right swollen toe, which he rates a 9/10. 


His past medical history is significant for left-sided heart failure - for which he takes metoprolol 50mg BD, frusemide 40mg daily, sacubitril + valsartan 24/26 BD and slow K 600mg daily. He also admits to taking paracetamol regularly for some joint pain, but mentions the paracetamol has not worked for his current pain. The patient also has T2DM which is well managed with Novomix 20 units TDS and some dapagliflozin 10mg daily. He has no allergies. He has a BMI of 35. 


Upon examination, the joint is extremely swollen, so much so that he cannot move the joint at all. The examination is also limited by pain.


Further X-Ray imaging shows some tophi on the toe. Blood tests show he has an eGFR of 88ml/min.


What would be an appropriate pharmacological management strategy for this patient? 

","Select one:

a.
Allopurinol 100mg daily then increase gradually


b.
Colchicine 1mg stat, then 500mcg 1 hour later


c.
Prednisolone 50mg stat then 25mg 1 daily thereafter.","The correct answer is Colchicine 1mg stat, then 500mcg 1 hour later.

 

Distractors:

Colchicine is a gout medication that works by inhibiting Neutrophil migration, chemotaxis, adhesion and phagocytosis in an inflamed tissue such as in our case - patient’s toe with the urate crystals. It has a high renal elimination fraction which is why we need to look at the patient’s eGFR. It is also accepted to be used for prophylaxis of Gout, including when starting urate lowering therapy.

The patient has left-sided heart failure which means that indomethacin (an NSAID) would be inappropriate for him due to water retention exacerbating his HF. 

Prednisolone would also be a poor treatment option for this patient due to his T2DM, and could impact on his glycaemic control. Corticosteroids could raise blood glucose levels and cause diabetic complications in the long term. 

Probenecid is not routinely used as a first line treatment for gout and should be avoided in acute gout flare ups. 

The same principle applies with Allopurinol - which is a urate lowering therapy. It is known that using a urate lowering therapy in acute gout is not beneficial and could make the gout attack worse. Allopurinol is used in chronic management of gout and prevention of further episodes. 


References:https://www.nps.org.au/australian-prescriber/articles/management-of-acute-gout
The correct answer is: Colchicine 1mg stat, then 500mcg 1 hour later"
4,Clinical,Hard,"M.Y, a 65 year old male, presents to the GP with bone pain that has gotten worse over the last couple of years. He rates this pain currently at 7/10, which he says varies slightly depending on the day. He complains also of headaches and right thigh pain.

Upon taking further history he said that he fractured his “shin bone” a few years ago from jumping down from a chair in the backyard. He also noticed that his hats don’t quite fit anymore - but is not sure if this means anything.

On examination, the right femur is mildly erythematous and has a temperature of 37.9 degrees.

You order a few lab results as well as order an x-ray of the head and the right hip. The lab results show a normal calcium and phosphate with a normal PTH. However, there was a marked elevation in the serum ALP. The x-ray showed a thickening of the diploe.

What is going to be the most likely diagnosis for this patient?","Select one:

a.
Osteonecrosis of the bone


b.
Osteoporosis


c.
Osteopetrosis


d.
Paget’s Disease of the bone


e.
Osteogenesis Imperfe","The correct answer is Paget’s Disease of the bone.

Paget’s Disease of the bone is the second most common skeletal disease after Osteoporosis. It is more common in men than women and usually presents after the age of 55. The lab results indicate a problem in the bone deformation (with an increased ALP). In about 40% of cases, there is skull involvement.

The giveaway sign is the mosaic pattern on the lamellar bone which is due to an imbalance in the osteoblast and osteoclast activity.



References: https://www.amboss.com/us/knowledge/Paget_disease_of_bone


The correct answer is: Paget’s Disease of the bone"
5,Clinical,Medium,"A 67-year-old male patient presents to the emergency department complaining of left-sided knee pain. The patient reports that the pain began suddenly a few hours ago and that he has been feeling hot and sweaty since it started.

He has a past history of osteoarthritis and has received total knee replacements in both knees as a result. He also suffers from diabetes and gout for which he diligently takes metformin and allopurinol respectively.

On examination, the knee is hot, swollen and restricted.

What is the most appropriate first step in the management of this patient?","Select one:

a.
IV fluids

b.
NSAIDs e.g. indomethacin


c.
Joint aspirate


d.
IV flucloxacillin

e.
IV vancomycin and ceftriaxone","The correct answer is Joint aspirate.

This is likely to be a case of septic arthritis. Any acute onset joint pain, coupled with a fever and a hot, restricted joint, should be suspicious of septic arthritis. It should be noted that prosthetic joints and diabetes are both risk factors for septic arthritis. Empirical IV antibiotics should be given to suspected cases. A joint aspirate should also be taken in order to direct further antibiotic therapy and to exclude other causes (e.g. gout). However, the joint aspirate should be taken PRIOR to the antibiotics in order to ensure that the empirical antibiotics do not eradicate the bacteria, making culture of the aspirate and determination of the causative organism impossible.

Distractors:

IV fluids - there is no information to suggest that the patient is hemodynamically unstable and/or requires fluid resuscitation.

NSAIDs e.g. indomethacin - indomethacin is typically the first line treatment for acute flares of gout. Although this patient has a history of gout, he diligently takes allopurinol as a preventative measure. Furthermore, any case of suspected septic arthritis should receive a joint aspirate immediately.

IV flucloxacillin - this would be the appropriate first line empirical antibiotics. However, as is mentioned above a joint aspirate should be taken first.

IV vancomycin and ceftriaxone - these would be the appropriate empirical antibiotics to give in a high risk patient.




Click here or the image below to access the complete Fact Sheet


References:

eTG: Septic arthritis

 

BSR & BHPR, BOA, RCGP and BSAC guidelines for management of the hot swollen joint in adults

https://academic.oup.com/rheumatology/article/45/8/1039/1784962


The correct answer is: Joint aspirate"
6,Clinical,Hard,"A 7 year old boy presents to his GP a week after recovering from a sore throat.

He complains that his joints have been aching and that he’s developed some moderate abdominal pain. His mother also reports that he has developed a strange rash on his legs. On examination, the GP discovers small, violet coloured macules over both his shins which are non-blanching.

What is the likely cause of the patients presentation?","Select one:

a.
Guttate psoriasis


b.
Chickenpox


c.
Meningococcal disease



d.
Henoch-Schonlein purpura (HSP)


e.
Immune thrombocytopenic purpura (ITP)","The correct answer is Henoch-Schonlein purpura.

This patient presents with 3 of the 4 characteristic features of HSP - arthralgia, abdominal pain, palpable purpura and renal involvement. Note that renal involvement may occur up to 6 months after the initial symptoms present. The condition is most commonly seen in children between 2 and 8 and also commonly follows an upper respiratory tract infection.

Distractors:

Guttate psoriasis - guttate psoriasis typically follows an URTI. However, it presents with small, scaly plaques as opposed to palpable purpura.

Chickenpox - chickenpox may present with prodromal symptoms that include arthralgia, sore throat and abdominal pain. However, the rash is more likely to feature pruritic papules and vesicles as opposed to palpable purpura.

Meningococcal disease - non-blanching purpura is typical of meningococcal disease. However, it is also likely to present with features of meningitis including fever, neck stiffness, altered consciousness, photophobia and nausea.

Immune thrombocytopenic purpura - ITP presents with a petechial rash. However, is is unlikely to feature symptoms such as abdominal pain and arthralgia.

References:

RCH: Fever and petechiae - Purpura

https://www.rch.org.au/clinicalguide/guideline_index/Fever_and_Petechiae_Purpura/

RCH: Henoch-schonlein purpura

https://www.rch.org.au/clinicalguide/guideline_index/HenochSchonlein_Purpura/

DermNet: Guttate psoriasis

https://www.dermnetnz.org/topics/guttate-psoriasis/

DermNet: Chickenpox

https://www.dermnetnz.org/topics/chickenpox/

RCH: Immune thrombocytopenic purpura

https://www.rch.org.au/clinicalguide/guideline_index/Immune_thrombocytopenic_purpura/
The correct answer is: Henoch-Schonlein purpura (HSP)"
7,Clinical,Medium,"You are a night HMO on ED at a metropolitan hospital and are being handed over a difficult case by the worried intern.

Jim, a 62 year-old man, has been referred to the emergency department by his GP with concerns about his temperature. Upon history, Jim states he has been in and out of his GP’s office 4 times in the last 6 weeks as he has had temperatures over ~38 degrees. He denies any cough, chest pain, changes in bowel motion or urinary habits and any new rashes. The only thing he mentions is he has intermittent aches and pains in his shoulders, back and hips but attributes it to old age.

On examination, his vitals are BP 125/85, HR 88, RR 19, SaO2 98% RA, T 38.3. Heart sounds are dual with no murmurs. Chest is clear with no added breath sounds. Peripheral examination yields no obvious focus of infection. CNS examination is grossly normal.

In the handover, the afternoon cover intern notes that Jim’s WCC is mildly elevated at 15x10^9 and CRP is likewise mildly elevated at 13, however, Jim’s ESR is 57mm/hr. Initial blood cultures are still pending. Renal and liver function are at baseline for Jim.

Which of the following investigations is the MOST diagnostic as follow up to the initial work-up?","Select one:

a.
Repeat blood cultures (x2), FBE, UEC, LFT and coagulation profile

b.
CT brain non-contrast, Lumbar Puncture

c.
CXR and MSU with urine MCS

d.
ANA, Extractable Nuclear Antigens (ENA), Rheumatoid Factor


e.
Temporal Artery Biopsy","The correct answer is E. Temporal Artery Biopsy.

In the context of an adult > 50y of age with any of:

-        New onset headache

-        Jaw claudication

-        Girdle polyarthritis (Polymyalgia Rheumatica is often comorbid with GCA)

-        Unexplained fevers, anaemia or other constitutional symptoms/signs

-        Sudden visual loss (amaurosis fugax)

You must suspect Giant Cell Arteritis/Temporal Arteritis as, if left untreated, the inflammation can spread to the local optic nerves leading to permanent blindness. Although it is correct to first work-up for the more immediately life-threatening condition (i.e. CNS infection), an ESR of 50mm/hr (normal < 15-20) is highly suggestive of a chronic inflammatory condition.

 

Distractors:

A: There is no point repeating these tests so quickly, especially the cultures since they are still pending.

B: Reasonable if clinical suspicion for CNS infection was higher, but, in this case, with no symptoms and unremarkable WCC, shouldn’t subject Jim to these tests without good reason

C: As part of a good septic screen, these three tests should be done, but, they are not likely to yield the diagnosis, and therefore are not the most diagnostic tests to be done at this stage.

D: A rheumatological screen is unnecessary at this stage given that there are more targeted tests we are yet to do. You might do these tests if your initial workup is negative to investigate for further causes.

 

 

References:

UpToDate - Diagnosis of giant cell arteritis + Clinical Manifestations of giant cell arteritis


The correct answer is: Temporal Artery Biopsy"
8,Clinical,Hard,"It is your first day as the Rheumatology resident at the hospital, and you have just finished rounding with the registrar, who has told you that the consultant will not be in today. He has asked you to manage the ward whilst they go study. Inspired by your keen pre-reading, you confidently agree and take their pager.

10 minutes later, your pager goes off and it reads: “49y M in ED, L ankle pain +++. Can’t walk, pls advise Ix on pager #XXXX”. After a few deep breaths, you call the ED registrar, who gives you a handover of the patient:

“John is a 49 year old male presenting with 36 hours of severe left ankle pain which has dramatically worsened overnight. He now cannot weight bear. He has no other constitutional symptoms, his vital signs are within normal limits and he is afebrile. I examined him and his left ankle is grossly swollen, erythematous and exquisitely tender. He is almost entirely immobilised by pain, could you please advise on further management?”

 

At the end of the rapid fire summary, you try to ask for more history, but are immediately cut off by the ED registrar who asks you which investigations you want before they can come up to your ward.

 

Which of the following sets of investigations are the MOST important in assessing monoarthritis?
","Select one:

a.
FBE, UEC, LFT


b.
Blood cultures, plain films, joint aspiration



c.
Uric acid levels, CRP, Blood cultures



d.
Plain films, CRP, ESR



e.
Joint aspiration, ESR, plain films","The correct answer is Blood cultures, plain films, joint aspiration.

Acute monoarthritis has many aetiologies, but, the most common are:

-        Septic arthritis

-        Crystal arthropathy

-        Trauma

-        Haemarthrosis

Septic arthritis is the first priority to rule out in any monoarthritis as it has the highest morbidity, whilst gout is the most common but is not as life-threatening.

To screen for septic arthritis, cultures and joint aspiration are a must. There is only one option which has both of these investigations. Plain films will check for any gouty erosions which are a poor prognostic factor for gout and may indicate the need for long-term therapy.

 

Distractors:

FBE, UEC, LFT should may be your default answer for investigations and are ordered frequently as a baseline, but, are not very targeted and will not help you make a diagnosis.

Uric acid levels can be falsely normal during acute gout attacks, so, they can actually be misleading and point you away from a diagnosis of gout.

CRP/ESR are inflammatory markers, but, do not tell you much more about the inflammation. Any monoarthritis will have inflammation and, whilst ESR is more of a long-term marker, it is non-specific. These tests would not help you make a diagnosis and direct further management.

As mentioned, ESR is not a very specific test and is not very useful for monoarthritis.




Click here or the image below to access the complete Fact Sheet






References:

UpToDate - Overview of monoarthritis in adults

https://www1.racgp.org.au/ajgp/2018/june/chronic-gout
The correct answer is:
Blood cultures, plain films, joint aspiration"
9,Preclinical,Medium,"Tim, a 65 year old male, has just recovered from his first gout episode and has come to see you, a local GP, for follow up and advice about minimising the risk of a second attack. Which of the following is NOT a risk factor for gout?
","Select one:

a.
Drinking 2-3 litres of soft drink everyday


b.
Eating a diet high in seafood and red meat



c.
Starting a thiazide diuretic



d.
Dehydration


e.
Poorly controlled diabetes


f.
Commencing Allopurinol in the last month



g.
Liver disease","The correct answer is G. Liver disease.

Uric acid production is mediated by the GIT and excretion by the kidney, so, liver disease is unlikely to affect urate concentrations. Gout is caused by precipitation of uric acid crystals from the blood into the joint space and, since it is a foreign material within the joint space, the immune system naturally will react against it causing an inflammatory response.

Concentration of urate in the blood is determined by uric acid and volume levels, hence, the two most important risk factors are purine intake (purines being an amino acid precursor to uric acid) and dehydration.

 

Distractors:

A: High fructose from drinking 2-3 litres of soft drink everyday is one of the major dietary risk factors for gout.

B: Purines and animal proteins are broken down into uric acid

C: Thiazides impair uric acid excretion

D: Uric acid crystal precipitation is based on solubility of urate, if there is less water, concentration of uric acid increases

E: Excessive glucosuria competes with uric acid for renal excretion meaning poorly controlled diabetes confers a hyperuricaemic state

F: Allopurinol is a long-term uric acid lowering agent, but, in the short-term, can actually precipitate a gout attack. It is a Xanthine Oxidase (XO) inhibitor and XO is responsible for converting purines into uric acid. However, any acute change in uric acid level can precipitate a gout attack, hence, starting Allopurinol or any urate-lowering therapy can be a trigger

References:

UpToDate - Lifestyle modifications and other strategies to reduce risk of gout flares and progression, Pathophysiology of gout, Pharmacologic urate-lowering therapy and treatment of tophi in patients with gout
The correct answer is: Liver disease"
10,Clinical,Medium,"Jess is a 40 year old female who starts to find it difficult to open jars in the morning, impeded by pain and stiffness. This has worsened over a period of 6 months, and is getting progressively worse, which is why she has presented to you, the GP, today.

She is otherwise fit and healthy and has no significant medical history. She does not take any medications currently. Jess knows has a family history of ‘arthritis’ but is not entirely sure what condition they have.

On examination, the joints in Jess’ hands are swollen, painful and mildly erythematous. Her vital signs are all normal, and a cardiorespiratory and abdominal exam are normal.

Which of these additional blood tests would be MOST USEFUL for confirming your suspected diagnosis?","Select one:

a.
Rheumatoid Factor



b.
Anti CCP


c.
ESR


d.
ANA


e.
FBE, UEC, CRP","This lady is likely to have rheumatoid arthritis. Her age. symptoms of worsening early morning stiffness in her hands and evidence of acute synovitis correlates with RA.

While both rheumatoid factor and anti CCP are commonly used when testing for rheumatoid arthritis. However anti CCP has a higher specificity than rheumatoid factor (90.4% vs. 80.3% respectively). Therefore, anti-CCP is a better test for ruling in the disease (confirming a diagnosis of RA)

RA is an autoimmune disease which attacks the joints, usually in the hands and wrists. Acute inflammation as a result of RA can cause swelling and pain around the joints as Jess is experiencing.

Women are 3 times more likely to have RA then men, and it commonly affects women between the ages of 30-60. A positive family history for RA also increases the risk of developing RA. 

If untreated, it can lead to long-term complications of RA, which are severe deformities of the hand limiting movement and functionality and other cardiovascular and systemic disease.

 

Distractors:

Rheumatoid factor has a lower specificity than anti-CCP when looking for rheumatoid arthritis. Additionally, 20% of rheumatoid arthritis can be seronegative, meaning it can be rheumatoid factor negative.

ESR is a marker of chronic inflammation, which would be raised in many different conditions, so is not a useful diagnostic test.

Anti Nuclear Antibody (ANA) is a non-specific marker which can be  used to look for diseases such as lupus. While lupus could be a possibility in this patient, ANA is not the best test for diagnosing lupus.

FBE, UEC, CRP are basic blood tests which will not aid with a diagnosis of autoimmune disease.

References:

https://ard.bmj.com/content/62/9/870

https://www.arthritis.org/about-arthritis/types/rheumatoid-arthritis/what-is-rheumatoid-arthritis.php
The correct answer is: Anti CCP"
