type,difficulty,topic,question_stem,answer_options,correct_index,correct_text,explanation
Clinical,Easy,"[""Respiratory"", ""Pulmonary Disease"", ""Asthma"", ""Infectious Disease""]","A 70-year retired female presents to her GP with a six-month history of daily cough productive of foul-smelling yellow sputum with occasional red-brown streaks. She is occasionally short of breath on exertion. She has noticed an increase in sputum and red discolouration in the past 2 weeks. She is feeling lethargic but has not noticed weight loss or night sweats. Her husband has recently been unwell with a cold. She has a background of rheumatoid arthritis, hypertension and high cholesterol. She is a non-smoker, non-drinker and has no recent overseas travel.

Clinically, the most likely diagnosis is:","[""Lung cancer"", ""Asthma"", ""COPD"", ""Primary tuberculosis"", ""Bronchiectasis""]",E,Bronchiectasis,"Explanation: The chronic, daily purulent sputum is characteristic of bronchiectasis, which is commonly associated with a foul smell and streaks of blood (haemoptysis). The recent increase in symptoms suggests an infective exacerbation precipitating the current GP visit (possibly caught from the sick husband!). Rheumatoid arthritis is one of the potential conditions associated with bronchiectasis. Lung cancer is an important differential but is less likely in the absence of B symptoms and smoking. COPD is also less likely in someone who has never smoked and typically involves colourless sputum and morning cough. Tuberculosis is rare in Australia and the absence of risk factors (such as overseas travel) and B symptoms makes it very unlikely. Asthma can present in adults but the absence of a personal or family history of atopy, productive rather than dry cough and no evidence of symptom variability or triggers makes it unlikely.

Resource: https://emedicine.medscape.com/article/296961-overview#a1"
Clinical,Easy,"[""Respiratory""]","A GP performs spirometry on a 35 year old man with a 3 month history of episodic cough.

This flow-volume loop is MOST likely to be associated with:


http://www.clevelandclinicmeded.com/medicalpubs/diseasemanagement/pulmonary/pulmonary-function-testing/images/pulmonary-function-fig4_large.jpg","[""Alpha-1-antitrypsin deficiency"", ""Obesity"", ""Interstitial lung disease"", ""Kyphoscoliosis"", ""Myasthenia gravis""]",,Alpha-1-antitrypsin deficiency,"Image source: http://www.clevelandclinicmeded.com/medicalpubs/diseasemanagement/pulmonary/pulmonary-function-testing/images/pulmonary-function-fig4_large.jpg

 

 Explanation: scalloping on the flow-volume loop is associated with obstructive lung disease. Alpha-1-antitrypsin deficiency causes emphysema, an obstructive disease. The patient’s young age may further increase suspicion of a heritable cause. Interstitial lung disease, kyphoscoliosis, obesity, and myasthenia gravis all produce restrictive disease.

 

Resource: Paraskeva, Borg and Naughton, 2011 Spirometry Australian family physician Vol 40(4) https://www.racgp.org.au/afp/2011/april/spirometry/ , https://emedicine.medscape.com/article/301760-overview"
Clinical,Easy,"[""Respiratory"", ""Pulmonary Disease"", ""Asthma""]","A 55 year old man presents with a 6 month history of productive cough and 2kg weight loss. He is an ex-smoker (24 pack years). On examination he has significant muscle wasting and is using accessory muscles for respiration. He has a hyper-resonant chest with quiet breath sounds bilaterally and no added sounds. The following are his spirometry results:

 

Baseline

Post- bronchodilator

 

Predicted

Actual

%predicted

Actual

% change

FEV1 (L)

3.07

0.63

21%

0.69

10%

FVC (L)

3.75

1.73

46%

1.92

 

FEV1/FVC (%)

82

37

45%

37

 

PEF

801

266

33%

249

 

http://www.clevelandclinicmeded.com/medicalpubs/diseasemanagement/pulmonary/pulmonary-function-testing/images/pulmonary-function-fig4_large.jpg","[""The most likely diagnosis is:"", ""COPD"", ""Asthma"", ""Lung cancer"", ""Sarcoidosis"", ""Interstitial lung disease""]",B,COPD,"Image source: http://www.clevelandclinicmeded.com/medicalpubs/diseasemanagement/pulmonary/pulmonary-function-testing/images/pulmonary-function-fig4_large.jpg

 

Explanation: The spirometry results showing FEV1/FVC <70% and scalloped flow volume loop are consistent with obstructive lung disease. Sarcoidosis and interstitial lung disease are therefore unlikely as they typically cause a restrictive pattern of lung disease. Asthma is typically confirmed by a significant response to bronchodilators (>12% or 200mL increase in FEV1), which is not the case for this patient. Although absence of bronchodilator response does not rule out asthma, it is much more commonly associated with COPD. The diagnosis of COPD is also supported by the patient’s history (heavy smoker, chronic cough) and examination findings. Muscle wasting and weight loss can occur because the patient is constantly working hard to breathe (using accessory muscles, particularly for expiration as the airways collapse making it difficult to breathe out air). Lung cancer is an important differential diagnosis in an ex-smoker with weight loss and new-onset cough. Although COPD is most likely with the given clinical picture and spirometry results, it may be worthwhile investigating and ruling out lung cancer. Lung cancer may co-exist with COPD in smokers.

 

Resource: http://www.japi.org/february_2012_special_issue_copd/05_spirometry_in_chronic.pdf"
Clinical,Hard,"[""Respiratory"", ""Pulmonary Disease""]",Which of the following is LEAST likely in a patient with severe COPD?,"[""Peripheral oedema and raised JVP due to right heart failure"", ""Hyper-resonant chest with quiet breath sounds due to hyperinflation"", ""Scattered expiratory wheeze due to airway obstruction"", ""Prolonged inspiration with pursed lips due to collapse of small airways"", ""Polycythaemia secondary to chronic hypoxaemia""]",,,"Explanation: Severe COPD is associated with prolonged expiration as small airway collapse due to damaged alveolar walls and loss of elastic recoil makes it difficult for the patient to breathe out. “Pursed lips” breathing assists with expiration by helping to keep the airways open. Polycythaemia and right heart failure are potential complications of COPD. Option b. and c. both represent possible findings in COPD patients (it is worthwhile seeing lots of COPD patients on the wards as they have a range of presentations!)

 

Resource: https://emedicine.medscape.com/article/297664-overview"
Clinical,Easy,"[""Respiratory"", ""Pulmonary Disease""]",Which of the following is indicated for long term maintenance therapy in COPD?,"[""Antibiotics"", ""Oral corticosteroids"", ""Salbutamol nebulisers"", ""LABA/LAMA combination inhaler"", ""Ipatropium inhaler""]",D,LABA/LAMA combination inhaler,"Your answer is correct.

Explanation: this question assesses knowledge of the medication classes used in COPD and the difference in management of exacerbations vs long term therapy. Antibiotics, oral corticosteroids and salbutamol/ ipratropium nebulisers are typically used in exacerbations. Salbutamol (Short acting beta agonist) and ipratropium (short-acting antimuscarininc) inhalers may also be used day-to-day PRN for symptom relief. Long acting beta agonist/long acting antimuscarinics (LABA/LAMA) combination inhalers (eg: Spiolto, Anoro Ellipta) are now first line in long term maintenance therapy in COPD.
Resource: https://emedicine.medscape.com/article/297664-overview"
Clinical,Hard,"[""Respiratory"", ""Pulmonary Disease"", ""Infectious Disease""]","A 72 year-old man presents to ED with a history of worsening productive cough, dyspnoea and tiredness over 5 days. He has a background of COPD and hypertension. His regular medications are amlodipine, salbutamol, Spiolto (LABA/LAMA) and seretide. He presents confused with observations RR 24, O2 sats 85% on room air, HR 110, BP 90/60, temp 38.6deg.

Which of the following is LEAST important in the acute management of this patient?","[""Administer salbutamol + ipratropium nebulisers"", ""Administer oral prednisolone"", ""Obtain a chest x-ray"", ""Give empirical antibiotics"", ""Administer oxygen therapy""]",B,Administer oral prednisolone,"Explanation: Salbutamol and ipratropium nebulisers, antibiotics, O2 therapy and steroids are important in the acute management of COPD. Obtaining a CXR is important in assessing for pneumonia when IV antibiotics are typically needed. Oral antibiotics and oral prednisolone would be suitable for a patient with a less severe infective exacerbation. At present this patient is probably sick enough to warrant IV hydrocortisone given his haemodynamic instability; he may be switched to oral prednisolone later for discharge.

 

Resource: https://emedicine.medscape.com/article/297664-overview"
Clinical,Medium,"[""Respiratory"", ""Pulmonary Disease""]","A 72 year old man presents to ED with a history of worsening productive cough, dyspnoea and tiredness over 5 days. He has a background of COPD and hypertension. His regular medications are amlodipine, salbutamol, Spiolto (LABA/LAMA) and seretide. He presents confused with observations RR 24, O2 sats 85% on room air, HR 110, BP 90/60, temp 38.6deg.

Which of the following is the best method for initially administering oxygen therapy to this patient?","[""He should not be given O2 therapy due to the risk of type 2 respiratory failure"", ""Hudson mask"", ""Venturi mask"", ""BiPAP"", ""He should not be given O2 therapy as his O2 sats are within acceptable range for COPD patients""]",C,Venturi mask,"Explanation: The target O2 saturation for patients with COPD is 88-92%. Chronic CO2 retention in COPD patients can lead to loss of the CO2 drive for respiration; these patients may rely on low O2 to drive respiration instead. Giving them too much oxygen can reduce respiratory drive causing type II respiratory failure. Thus, it is important to know the precise FiO2 (fraction of inspired oxygen) delivered to COPD patients; this is usually kept at 24-28% to avoid excess oxygen delivery. With nasal prongs and Hudson mask it is not possible to accurately know the FiO2 delivered, and FiO2 will increase with increasing oxygen flow rates. A venturi mask allows a precise FiO2 to be delivered at a relatively high flow rate making it a good initial oxygen delivery method for COPD patients. BiPAP may be required in more severe cases or if the patient deteriorates.

 

Resource: https://em3.org.uk/foamed/22/5/2017/lightning-learning-oxygen-delivery-devices"
Clinical,Medium,"[""Respiratory"", ""Pulmonary Disease""]","A 72 year old woman presents with a 12 month history of exertional dyspnoea and cough productive of clear sputum. Her chest X-ray is given below.

http://radiopaedia.org/images/266487  
Which of the following features of COPD are NOT seen on this chest X-ray?","[""\"Small\" cardiac size"", ""Increased number of ribs within the lung fields"", ""Flattened hemidiaphragm"", ""Bullous changes"", ""Barrel chest""]",E,Barrel chest,"Image source: http://radiopaedia.org/images/266487 

 

Explanation: barrel chest refers to increase in antero-posterior diameter of the chest wall associated with COPD- this can only be seen on a lateral CXR view.

 

Resource: https://radiopaedia.org/articles/chronic-obstructive-pulmonary-disease-1"
Clinical,Medium,"[""Respiratory"", ""Asthma""]","A 15 year old boy with a background of asthma presents to ED with sudden onset shortness of breath and wheeze that occurred during a soccer match. He has had limited response to his salbutamol puffer.

Which of the following findings would suggest a severe asthma exacerbation?","[""Respiratory rate 24"", ""Bilateral expiratory wheeze on auscultation"", ""Hypocapnia on ABG"", ""O2 sats 95%"", ""Speaking in incomplete sentences""]",E,Speaking in incomplete sentences,"Explanation: Wheeze is a poor marker of the severity of an exacerbation. As patients make a greater breathing effort during an asthma attack, ventilation increases causing more CO2 to be blown off; the arterial blood gas therefore initially shows a respiratory alkalosis with low CO2; rising CO2 on serial blood gases is a concerning sign that the patient is tiring. O2 saturation <90-02% indicates severe asthma (guidelines vary). Respiratory rate is expected to be increased during an asthma attack; subtantial increase (>25-30, guidelines vary) can indicate severe asthma while a relatively low respiratory rate can occur eventually from exhaution. Inability to speak in full sentences due to dyspnoea is an important sign of a severe asthma attack.

Resources:  http://www.asthmahandbook.org.au/acute-asthma/clinical/primary-assessment , https://lifeinthefastlane.com/ccc/acute-severe-asthma/"
Clinical,Medium,"[""Respiratory"", ""Asthma""]","A 12-year-old girl is brought to ED with severe dyspnoea, chest-tightness and wheeze. She has a background of asthma and has been using Ventolin every 10-15 minutes since this morning. On presentation to ED she has a respiratory rate of 30 with oxygen saturations of 90% on room air.

 Which of the following is the next most important aspect of management?","[""Oxygen therapy via Hudson mask"", ""Inhaled fluticasone/salmeterol"", ""Intubation and ventilation"", ""Obtaining a chest X-ray"", ""Obtaining an arterial blood gas""]",,,"Explanation: management of an asthma exacerbation should begin with ABC's and rapid assessment of severity (based on vital signs and clinical assessment prior to administration of bronchodilators).

Oxygen aiming for saturation >92-94% is important, usually delivered via Hudson mask. Intubation and ventilation may be necessary if the patient begins to tire and respiratory effort becomes feeble.

Salbutamol +/- ipratropium bromide are short-acting bronchodilators used in acute asthma exacerbations. Fluticasone/salmeterol is a combination ICS/LABA preventer and has no role in this acute setting.

ABGs are useful in monitoring progress (initially respiratory alkalosis, rising CO2 with tiring and eventually metabolic lactic acidosis). However, stabilising the patient is the highest priority over ABGs which can be difficult to obtain and in children may precipitate worsened respiratory distress.

Chest X-rays are not required routinely for acute asthma exacerbations unless very severe or used to rule out differential diagnoses.

 

Resource:  https://lifeinthefastlane.com/ccc/acute-severe-asthma/ , https://www.rch.org.au/clinicalguide/guideline_index/Asthma_Acute/


The correct answers are: Oxygen therapy via Hudson mask, Obtaining a chest X-ray"
