source_file,type,difficulty,topic,question_stem,answer_options,correct_index,correct_text,explanation
18. MSK_Rheum__MSKRheum_2.csv,Preclinical,Easy,"[""cauda equina"", ""rheumatology""]","Daniel presents to the emergency department following a gym session, reporting sharp back pain which is 9/10 in severity. Upon further questioning,  he reveals that he also cannot control his bladder. O
On examination, he presents with bilateral anesthesia in the S3-S5 dermatome and  hyporeflexia of the achilles tendon. 
What is the most likely diagnosis?","[""Radiculopathy"", ""Torn erector spinae muscle"", ""Cervical spondylosis"", ""Cauda equina syndrome"", ""Delayed onset muscle soreness.""]",D,Cauda equina syndrome,
15. Acute Care & Emergency_Acute_Care___Emergency_1.csv,Clinical,Easy,"[""acute"", ""acute care & emergency"", ""care"", ""emergency"", ""er""]","Connor is a 27 year old man who is currently day 3 post hemicolectomy for Crohn’s disease. His nurse pages you, the surgical intern, as he has become febrile with a temperature of 38.2˚. His other vital signs are within normal limits. He reports some mild lower abdominal pain.
On examination he has a urinary catheter in situ draining clear yellow urine. He has a peripheral IV cannula in his R) cubital fossa since the day of surgery with no evidence of infection surrounding the site. His abdomen is appropriately tender, but not peritonitic, and his surgical wound is clean and dressed. His calves are soft, and non-tender, and he has been administered appropriate DVT prophylaxis while bedbound. There is no abnormality on examination of the chest. 
What is the most likely source of Connor’s fever?","[""Urinary tract infection"", ""Pneumonia"", ""Thrombophlebitis"", ""Deep vein thrombosis"", ""Wound infection""]",A,Urinary tract infection,
13. Psychiatry_Psychiatry_2.csv,Clinical,Hard,"[""delirium"", ""psychiatry""]","Nimelin is a 74-year-old gentleman with a history of metastatic prostate cancer who has come in from a nursing home with 3 days of increasing confusion that fluctuates throughout the day, lethargy and a productive cough with greenish brown phlegm as per his daughter. When you meet him in the Gen Med unit on the day of his admission, you notice he is confused, distractible and is not orientated to person, time and place. He is not able to give you much of a coherent history so you proceed with an examination. 
On examination, his vitals show a respiratory rate of 28, O2 sats of 89 while the rest of the examination are all within normal range. His chest has dullness to percussion and widespread crackles on the left side. His abdomen is soft and nontender with no palpable bladder. He has no focal neurological deficits; his integumentary exam is unremarkable. When you check his medication chart, there are no recent changes to his medications. His BSL was checked and is within normal range.
You have conducted a CAM assessment and confirm your diagnosis of hyperactive delirium.
He is becoming progressively more agitated, pulling out his cannula and trying to leave his room.
What would you like to do next for Nimelin?","[""Order a mobile Chest XR and urine MCS"", ""Obtain CT brain"", ""Give Benzodiazepine"", ""Give Haloperidol""]",A,Order a mobile Chest XR and urine MCS,
18. MSK_Rheum__MSKRheum_2.csv,Clinical,Easy,"[""osteomyelitis"", ""rheumatology""]","Chris is a 23 year old professional skateboarder who presents to the emergency department with a sore shin. On further questioning, Chris tells you, the intern, that he was busy skateboarding in the park 3 days ago with his friends when he had a nasty fall. In his words, he describes that he suffered ""a deep-ish gash"" to his tibial area that was bleeding quite heavily. Not wanting to appear weak in front of his friends, Chris brushed off his injuries and returned to skateboarding for an hour or so.
When he got home the bleeding had stopped, and the gash did not look so deep anymore so he just washed it with some antiseptic solution he had and bandaged it with some first aid equipment he had lying around. Over the course of 2 days, the pain in his leg has  worsened with him finding it difficult to weight bear or even move it. The area around the wound has also become very red and swollen. This morning he woke up with a fever and what he describes as the ""shakes"".  
He reports no significant past medical history, but states he has been told he has had a penicillin allergy since childhood.
On examination, you see an irregular shaped, 5cm long wound on the medial aspect of the tibia, that is exudative. MSK and neuro exams are normal. He has a temperature of 38 degrees, heart rate of 130bpm, respiratory rate of 18 and oxygen saturations of 97% on room air.
What is the most appropriate drug for this patient?","[""Flucloxacillin"", ""Cefazolin"", ""Ceftriaxone"", ""Vancomycin"", ""Azithromycin""]",B,Cefazolin,
16. Obstetrics & Gynaecology_Obstetrics_2.csv,Clinical,Medium,"[""obstetrics"", ""obstetrics & gynaecology""]","Jasmine Smith is a 23-year-old G1P0, who came in for an induction with an oxytocin infusion and artificial rupture of membranes this morning. She is at 39+6 weeks gestation and has had an uncomplicated prenatal course. She is group B strep negative. She has a history of mild asthma that she uses salbutamol for and had an appendectomy years ago. She has no allergies.
Her labour has been progressing slowly but she is currently 4cm dilated and +1 station.
Intrapartum CTG shows the following:
<INSERT IMAGE HERE>
What is the most appropriate next step?","[""Prepare for an urgent instrumental delivery"", ""Prepare for an urgent Caesarean"", ""Apply fetal scalp electrodes"", ""Decrease or cease oxytocin"", ""Increase oxytocin""]",D,Decrease or cease oxytocin,
6. Endocrinology_Endo_2.csv,Clinical,Medium,"[""endocrinology"", ""oesophagitis""]","A 65 year old woman presents to the GP clinic complaining of burning retrosternal pain with painful swallowing. She has a medical history of heart failure, COPD, depression and osteoporosis. 
Which medication is the most likely cause for this presentation?","[""Alendronate"", ""Spironolactone"", ""Prednisolone"", ""Ibuprofen"", ""Sertraline""]",A,Alendronate,
4. Respiratory_Respiratory_4.csv,Preclinical,Medium,"[""acid"", ""base"", ""respiratory""]","A 65 year old man presents to the emergency department with a likely exacerbation of COPD.  The following arterial blood gas results have been presented to you. Normal ranges are in brackets.
pH: 7.24   (7.35-7.45)
PaO2: 85   (80-100 mmHg)
PaCO2: 61   (35-45 mmHg)
HCO3-: 23.3   (22-26 mmol/L)
Base excess: -2.5   (-2 - +2 mmol/L)
Which of the following is the best interpretation of the results?","[""Acute uncompensated metabolic acidosis"", ""Acute compensated metabolic acidosis"", ""Acute uncompensated respiratory acidosis"", ""Acute compensated respiratory acidosis"", ""Acute mixed respiratory and metabolic acidosis""]",C,Acute uncompensated respiratory acidosis,
16. Obstetrics & Gynaecology_Obstetrics_3.csv,Clinical,Easy,"[""obstetrics"", ""obstetrics & gynaecology""]","A 26 year old female G1P0 has fetal bradycardia on CTG following artificial rupture of membranes (ARM) for induction of labour at 30 weeks gestation.
She denies any history of abdominal pain, PV bleeding or decreased fetal movements.
This is her first time being pregnant. Her obstetrician noticed polyhydramnios on ultrasound at her last appointment and suggested an induction of labour with ARM at 30 weeks. The rest of her pregnancy history has been uncomplicated.
The fetal heart rate suddenly dropped from 110 beats/min to 60 beats/min following ARM. PV examination reveals a thick pulsating structure.
What is the most likely cause of the fetal bradycardia?","[""Ectopic pregnancy"", ""Early stages of labour"", ""Uterine rupture"", ""Cord prolapse"", ""Shoulder dystocia""]",D,Cord prolapse,
12. Surgery & Anatomy_Ophthal_3.csv,Clinical,Medium,"[""ophthalmology"", ""surgery & anatomy""]","A 65-year-old woman presents with a 1-day history of sudden, painless loss of vision in her left eye. She describes it as a curtain descending over her field of vision. She is myopic and has had a successful cataract surgery with an intraocular lens implant. She reports no injury to the eye of her knowledge. She has no other significant symptoms.
An indirect fundoscopy is conducted, and a diagnosis is promptly made.
Which of the following is the most likely diagnosis in this patient?","[""Diabetic retinopathy"", ""Retinal vein occlusion"", ""Retinal detachment"", ""Retinoschisis"", ""Giant cell arteritis""]",C,Retinal detachment,
12. Surgery & Anatomy_Ophthal_2.csv,Clinical,Medium,"[""ophthalmology"", ""retinal detachment"", ""surgery & anatomy""]","A 71-year-old man presents to ED with painless loss of vision in his left eye starting two days ago. One week ago he began to experience flashes and floaters in his left eye and two days ago he described a curtain coming across his left eye. He is myopic and wears glasses.
On examination, his visual acuity corrected is 6/6 in the right eye and can only count fingers in the left eye. He has a defect in his inferonasal visual field of the left eye. The back of the left eye is examined and this is what is seen: 
<INSERT IMAGE HERE>
What is the diagnosis?","[""Intraocular foreign body"", ""Optic neuritis"", ""Posterior uveitis"", ""Retinal detachment"", ""Vitreous haemorrhage""]",D,Retinal detachment,
