source_file,type,difficulty,topic,question_stem,answer_options,correct_index,correct_text,explanation
3. Cardiology_Cardio_1.csv,Clinical,Medium,"[""Cardiology"", ""Ischaemic Heart Disease""]","A 55-year-old male presents with 1 day history of central, crushing chest pain, radiating to his left arm at rest. He has been experiencing chest pain intermittently over the past 6 months. Serial cardiac troponins and ECG revealed no abnormalities. What is the next best step in his management?","[""Repeat troponins"", ""GTN s/l only"", ""Discharge with lifestyle advice"", ""Aspirin 300mg + GTN s/l"", ""Aspirin 100mg + GTN s/l""]",D,Aspirin 300mg + GTN s/l,"This man is likely suffering from unstable angina which is on the spectrum of acute coronary syndrome. Unstable angina presents without a rise in troponins due to absence of myocardial infarct but often indicates impending infarction. Thus treatment is the same as for a STEMI or NSTEMI.

Click here or the image below to access the complete Ischaemic Heart Disease Fact Sheet



Description not necessary"
3. Cardiology_Cardio_1.csv,Clinical,Hard,"[""Cardiology"", ""Ischaemic Heart Disease""]","A 56-year-old male truck driver was diagnosed with a STEMI 2 weeks ago. His discharge medications included aspirin, clopidogrel, ramipril, metoprolol and atorvastatin. He has been well since discharge, however now presents with pleuritic chest pain, dyspnoea and fever. Vitals revealed HR 100bpm, RR 20, O2 sats 97%, T 38.6˚C. Troponins were normal and ECG showed Q waves and T wave inversion in leads II, III and aVF. CXR revealed a pleural effusion. What is the next best step in his management?","[""Antibiotics"", ""BNP"", ""PCI"", ""Heparin"", ""NSAIDs""]",E,NSAIDs,"This man is suffering from Dressler syndrome which is a late complication of MI. Dressler syndrome is classified by fever, pericarditis, pleural and pericardial effusions and joint pain. Management is with NSAIDs acutely and colchicine for prevention of recurrences. Pneumonia and PE are unlikely due to his relatively normal O2 sats. Heart failure is possible but Dressler syndrome is the most likely diagnosis in the presence of pleuritic chest pain. Recurrent ischaemia is unlikely due to the normal troponins and lack of specific ECG changes.

Source: https://www.msdmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/complications-of-acute-coronary-syndromes 
Click here or the image below to access the complete Ischaemic Heart Disease Fact Sheet 

Description not necessary"
3. Cardiology_Cardio_1.csv,Clinical,Easy,"[""Cardiology"", ""Ischaemic Heart Disease""]","A 56-year-old male truck driver was diagnosed with a STEMI 2 weeks ago. His discharge medications included aspirin, clopidogrel, ramipril, metoprolol and atorvastatin. He has been well since discharge and is wondering about when he can get back to work. What is the best advice that should be given?","[""Able to return to work immediately"", ""Return to work after 2 weeks if no anginal symptoms"", ""Return to work after 4 weeks if no anginal symptoms"", ""Return to work after 6 months if no anginal symptoms"", ""Require a driving test before returning to work""]",C,Return to work after 4 weeks if no anginal symptoms,"The recommendations for driving after an AMI are ≥2 weeks for private vehicle drivers and ≥4 weeks for commercial vehicle drivers. A driving test is not required but an assessment by a medical practitioner is needed, taking into account the response to treatment and symptoms.

Source: http://www.austroads.com.au/drivers-vehicles/assessing-fitness-to-drive
Click here or the image below to access the complete Ischaemic Heart Disease Fact Sheet"
3. Cardiology_Cardio_1.csv,Clinical,Medium,"[""Cardiology"", ""Ischaemic Heart Disease""]","A 65-year-old male presents for a regular checkup at his GP. He has a past medical history of type 2 diabetes mellitus, hypertension and hypercholesterolaemia. He has been otherwise well. An ECG stress test was done given his high risk for ischaemic heart disease. Which of the following are not diagnostic of an acute myocardial infarct?","[""ST elevation"", ""ST depression"", ""Pathological Q waves"", ""Hyperacute T waves"", ""T waves inversion""]",D,Hyperacute T waves,"The diagnosis of a myocardial infarction requires:

Elevated cardiac enzymes AND

One of the following:

Typical symptoms

ST elevation or depression

Pathological Q waves

Coronary intervention has been performed eg. stent placement

Hyperacute T waves are indicative of ischaemia but not infarction.

Source: https://en.ecgpedia.org/wiki/Myocardial_Infarction#Development_of_the_ECG_during_persistent_ischemia

Click here or the image below to access the complete Ischaemic Heart Disease Fact Sheet"
3. Cardiology_Cardio_1.csv,Clinical,Easy,"[""Cardiology"", ""Ischaemic Heart Disease""]","A 70-year-old female presents with acute dyspnoea and coughing up pink, frothy sputum. She recently had an acute asthma attack which was treated with nebulised salbutamol and oral prednisolone. Other medical history includes a pacemaker for complete heart block, hypertension and hypercholesterolaemia. On examination she is tachycardic, tachypnoeic, BP is 137/90, O2 sats are 87% and she is afebrile. What does her chest x-ray show?","[""Acute lobar pneumonia"", ""Acute asthma"", ""Acute pulmonary oedema"", ""Tension pneumothorax"", ""Multiple rib fractures and associated pneumothorax""]",C,Acute pulmonary oedema,"She is suffering from acute pulmonary oedema characterised by the pink, frothy sputum and most likely triggered by the prednisolone. Chest x-ray findings of acute pulmonary oedema can be remembered by the mnemonic ABCDE for alveolar oedema, kerley B lines and bats wing hilar shadowing, cardiomegaly, diversion of upper lobes, effusions. Lobar pneumonia is a possibility but unlikely given the bilateral batswing opacification and lack of fever. An acute asthma attack is unlikely given the chest x-ray changes. There are no signs of a tension pneumothorax or rib fractures.

Source: http://www.oxfordmedicaleducation.com/cardiology/acute-pulmonary-oedema/

Click here or the image below to access the complete Ischaemic Heart Disease Fact Sheet"
3. Cardiology_Cardio_1.csv,Clinical,Easy,"[""Cardiology""]","A 70-year-old female presents with acute dyspnoea and coughing up pink, frothy sputum. She recently had an acute asthma attack which was treated with nebulised salbutamol and oral prednisolone. Other medical history includes a pacemaker for complete heart block, hypertension and hypercholesterolaemia. On examination she is tachycardic, tachypnoeic, BP is 137/90, O2 sats are 87% and she is afebrile. What features would least likely be present on CXR?","[""Alveolar shadowing"", ""Kerley B lines"", ""Cardiomegaly"", ""Prominent upper lobes"", ""Absent peripheral lung markings""]",E,Absent peripheral lung marking,"She is suffering from acute pulmonary oedema characterised by the pink, frothy sputum and most likely triggered by the prednisolone. Chest x-ray findings of acute pulmonary oedema can be remembered by the mnemonic ABCDE for alveolar oedema, kerley B lines and bats wing hilar shadowing, cardiomegaly, diversion of upper lobes, effusions. Absent peripheral lung markings are characteristic of a pneumothorax.

Source: http://www.oxfordmedicaleducation.com/cardiology/acute-pulmonary-oedema/"
3. Cardiology_Cardio_1.csv,Clinical,Hard,"[""Cardiology""]","A 55-year-old male with recently diagnosed atrial fibrillation was recently started on an antiarrhythmic. He presents today with weight loss, anxiety and diarrhoea. Which of the following drugs was he most likely started on.","[""Digoxin"", ""Adenosine"", ""Amiodarone"", ""Atropine"", ""Metoprolol""]",C,Amiodarone,"This man most likely has amiodarone thyrotoxicosis. Amiodarone has a number of side effects such as thyroid dysfunction, ocular effects from corneal microdeposits, pulmonary toxicity and precipitation of new arrhythmias. Thyrotoxicosis can appear months even after cessation of amiodarone.

Source: https://amhonline.amh.net.au/chapters/cardiovascular-drugs/drugs-arrhythmias/antiarrhythmics/amiodarone#amiodarone-adverse"
3. Cardiology_Cardio_1.csv,Clinical,Medium,"[""Cardiology""]","A 50-year-old female presents for a routine surveillance of an abdominal aortic aneurysm. He is asymptomatic and otherwise well. Past medical history is significant for type 2 diabetes mellitus, hypertension and hyperlipidaemia. What is the best mode of surveillance for an aortic aneurysm?","[""Chest x-ray"", ""Abdominal x-ray"", ""Abdominal ultrasound"", ""Computer tomography angiography"", ""Magnetic resonance angiography""]",C,Abdominal ultrasound,"USS is the modality of choice due to its cost effectiveness, lack of radiation and widespread availability. CTA is used when considering surgical repair and no appropriate for routine surveillance due to the need for radiation exposure. MRA has no role in surveillance due to its cost and longer duration to administer and is used during repair for stent placement. CXR and AXR are not routinely used in the investigation of AAA.

Source: https://www.racgp.org.au/afp/2013/june/aortic-aneurysms/"
3. Cardiology_Cardio_1.csv,Clinical,Hard,"[""Cardiology""]","A 50-year-old female presents for a routine surveillance of an abdominal aortic aneurysm. He is asymptomatic and otherwise well. Past medical history is significant for type 2 diabetes mellitus, hypertension and hyperlipidaemia. Which of the following is an indication for aneurysm repair?","[""Aneurysm surveillance >5 years"", ""Aneurysm diameter >4.5 cm"", ""Aneurysm growth >10mm/ year"", ""Comorbid HTN"", ""All aneurysms are an emergency and require immediate treatment""]",C,Aneurysm growth >10mm/ year,"The following are indications for aneurysm repair:

Male with aneurysm >5.5cm

Female with aneurysm >5cm

Growth >1cm/ year

Symptomatic eg. back pain, distal embolisation

Aneurysms not meeting this criteria can be monitored indefinitely as there is no

significant survival benefit due to low risk of rupture.

Source: https://www.racgp.org.au/afp/2013/june/aortic-aneurysms/"
3. Cardiology_Cardio_1.csv,Clinical,Medium,"[""Cardiology"", ""Ischaemic Heart Disease""]","A 75-year-old male presents with sudden onset of palpitations, dizziness and dyspnoea. He is extremely anxious and fears that he might be having a heart attack. He had a previous acute myocardial infarct 6 months ago requiring coronary artery bypass surgery and has a background of hypertension and gastro-oesophageal reflux disease. On examination he has a BMI of 31, is sitting upright and is clammy and sweaty. T 37.1˚C, HR 155 bpm and BP 135/90. His ECG is shown below. What is the single most appropriate management?","[""Amiodarone"", ""Metoprolol"", ""Atropine"", ""DC cardioversion"", ""Adrenaline""]",A,Amiodarone,"This man is in VT. Guidelines state that DC cardioversion should be attempted if the patient is in cardiovascular shock. This man is still maintaining his BP and not in shock so 1st line would be amiodarone 300mg bolus followed by a 900mg infusion over the next 24h. However, given his tachycardia, it is reasonable to be already thinking of emergent cardioversion. 

Source: https://lifeinthefastlane.com/ecg-library/ventricular-tachycardia/

Click here or the image below to access the complete Ischaemic Heart Disease Fact Sheet"
